subID,stimFile,stimType,bin,corners,spectralCentroid,rating,boundingBoxArea,areaRatio,duration,numOnsets,onsetStrength
1,LC0,image,4,5,NA,Angry,59400,0.397794613,NA,NA,NA
1,PS14,image,3,4,NA,Sad,52800,0.591155303,NA,NA,NA
1,ROS3,sound,0,NA,133.2299762,Angry,NA,NA,1.555736961,24,0.565668243
1,LC14,image,2,3,NA,Sad,19158,0.442478338,NA,NA,NA
1,PS3,image,6,7,NA,Sad,54607,0.59082169,NA,NA,NA
1,PS10,image,5,6,NA,Angry,86674,0.394697372,NA,NA,NA
1,ROS5,sound,3,NA,477.5280821,Sad,NA,NA,2.252335601,37,0.953996904
1,SAW7,sound,5,NA,811.2331395,Sad,NA,NA,2.954739229,1,0.031285678
1,SAW4,sound,7,NA,1084.142144,Sad,NA,NA,1.904036281,13,0.107509775
1,PS13,image,10,11,NA,Sad,106750,0.487081967,NA,NA,NA
1,LC9,image,7,8,NA,Sad,50176,0.464106346,NA,NA,NA
1,PS5,image,11,12,NA,Sad,154054,0.385066275,NA,NA,NA
1,SAW4,sound,4,NA,645.5044589,Sad,NA,NA,1.904036281,19,0.190279934
1,LFO8,sound,10,NA,1645.882188,Angry,NA,NA,3.303038549,43,1.225972972
1,LC13,image,12,13,NA,Sad,35442,0.506912702,NA,NA,NA
1,SAW4,sound,9,NA,1485.811435,Angry,NA,NA,1.904036281,30,0.190838268
1,LFO8,sound,2,NA,348.1696702,Sad,NA,NA,3.303038549,51,1.203064127
1,LC2,image,9,10,NA,Sad,81144,0.288684314,NA,NA,NA
1,ROS8,sound,12,NA,1800.520636,Angry,NA,NA,3.303038549,11,0.995383246
1,PS0,image,1,2,NA,Sad,57358,0.666132013,NA,NA,NA
1,ROS1,sound,1,NA,240.6751686,Sad,NA,NA,0.853333333,14,0.680933009
1,LFO2,sound,11,NA,1654.946965,Angry,NA,NA,1.201632653,13,2.713685694
1,LC1,image,8,9,NA,Sad,87246,0.208410701,NA,NA,NA
1,LC11,image,0,1,NA,Sad,34572,0.213641097,NA,NA,NA
1,SAW5,sound,8,NA,1245.973732,Angry,NA,NA,2.252335601,18,0.126638134
1,LFO6,sound,6,NA,1005.655967,Angry,NA,NA,2.600634921,41,1.690346145
1,PS14,image,10,11,NA,Sad,90258,0.320326176,NA,NA,NA
1,SAW3,sound,7,NA,1163.322288,Sad,NA,NA,1.555736961,12,0.082861227
1,PS4,image,11,12,NA,Sad,88200,0.351439909,NA,NA,NA
1,LFO1,sound,10,NA,1551.463724,Angry,NA,NA,0.853333333,13,1.089026841
1,PS0,image,4,5,NA,Angry,64625,0.494189555,NA,NA,NA
1,LFO9,sound,0,NA,146.2137866,Sad,NA,NA,3.651337868,74,0.597934969
1,LC3,image,6,7,NA,Angry,21125,0.348023669,NA,NA,NA
1,LC1,image,5,6,NA,Angry,60900,0.318423645,NA,NA,NA
1,ROS0,sound,11,NA,1726.134218,Sad,NA,NA,0.505034014,5,2.244271661
1,SAW8,sound,1,NA,204.4040742,Sad,NA,NA,3.303038549,39,0.163802263
1,SAW8,sound,6,NA,934.0494724,Sad,NA,NA,3.303038549,1,0.025557663
1,PS3,image,1,2,NA,Sad,50635,0.680576676,NA,NA,NA
1,ROS3,sound,12,NA,1817.582067,Angry,NA,NA,1.555736961,15,2.083996338
1,LC13,image,3,4,NA,Angry,9844,0.3085128,NA,NA,NA
1,ROS5,sound,2,NA,438.3333627,Sad,NA,NA,2.252335601,38,0.960972072
1,LC12,image,8,9,NA,Angry,34595,0.285445874,NA,NA,NA
1,LC3,image,2,3,NA,Angry,54600,0.247014652,NA,NA,NA
1,SAW5,sound,9,NA,1494.043809,Angry,NA,NA,2.252335601,9,0.221899268
1,LFO5,sound,4,NA,664.2953508,Angry,NA,NA,2.252335601,35,2.068102691
1,ROS8,sound,5,NA,798.189826,Sad,NA,NA,3.303038549,65,1.00719228
1,PS9,image,9,10,NA,Sad,94249,0.519475008,NA,NA,NA
1,LFO2,sound,3,NA,551.4588593,Sad,NA,NA,1.201632653,19,0.868015963
1,LC13,image,0,1,NA,Sad,15372,0.628480354,NA,NA,NA
1,LC10,image,12,13,NA,Angry,35295,0.585380365,NA,NA,NA
1,PS10,image,7,8,NA,Angry,100016,0.396386578,NA,NA,NA
1,SAW2,sound,8,NA,1289.363558,Sad,NA,NA,1.201632653,18,0.174262006
1,ROS9,sound,0,NA,129.375654,Angry,NA,NA,3.651337868,58,0.690023642
1,PS8,image,10,11,NA,Angry,101430,0.380912945,NA,NA,NA
1,SAW6,sound,10,NA,1634.709896,Sad,NA,NA,3.604897959,57,0.202051819
1,LC0,image,4,5,NA,Sad,59400,0.397794613,NA,NA,NA
1,LFO5,sound,8,NA,1262.733732,Angry,NA,NA,2.252335601,38,1.7173614
1,LC9,image,0,1,NA,Sad,44802,0.266238114,NA,NA,NA
1,PS3,image,5,6,NA,Angry,82080,0.583796296,NA,NA,NA
1,ROS9,sound,3,NA,511.480815,Sad,NA,NA,3.651337868,44,0.743004546
1,LFO7,sound,5,NA,817.9563779,Sad,NA,NA,2.954739229,36,2.703158599
1,PS14,image,9,10,NA,Sad,94783,0.254085648,NA,NA,NA
1,PS4,image,12,13,NA,Sad,85228,0.408645046,NA,NA,NA
1,LFO1,sound,7,NA,1109.796288,Angry,NA,NA,0.853333333,14,1.464929572
1,LC3,image,3,4,NA,Angry,17516,0.205355104,NA,NA,NA
1,ROS2,sound,9,NA,1443.324594,Angry,NA,NA,1.201632653,2,0.369048135
1,LFO1,sound,2,NA,377.2806432,Sad,NA,NA,0.853333333,16,1.278210145
1,LC14,image,7,8,NA,Angry,27900,0.277562724,NA,NA,NA
1,ROS1,sound,11,NA,1793.512922,Angry,NA,NA,0.853333333,7,1.816227532
1,SAW8,sound,6,NA,934.0494724,Sad,NA,NA,3.303038549,1,0.025557663
1,SAW6,sound,12,NA,1881.07624,Sad,NA,NA,2.600634921,10,0.044030928
1,PS1,image,1,2,NA,Sad,62909,0.602775438,NA,NA,NA
1,PS11,image,6,7,NA,Sad,102258,0.370151969,NA,NA,NA
1,SAW3,sound,1,NA,288.2146538,Sad,NA,NA,1.555736961,1,0.001319821
1,LC10,image,2,3,NA,Angry,12614,0.514586967,NA,NA,NA
1,LC4,image,11,12,NA,Angry,42630,0.262936899,NA,NA,NA
1,LC8,image,8,9,NA,Angry,35442,0.41433892,NA,NA,NA
1,ROS3,sound,4,NA,740.6427446,Sad,NA,NA,1.555736961,26,0.850947067
1,SAW2,sound,10,NA,1628.195979,Sad,NA,NA,1.201632653,11,0.238434057
1,LC8,image,4,5,NA,Angry,30856,0.330276121,NA,NA,NA
1,PS11,image,9,10,NA,Sad,83700,0.303691756,NA,NA,NA
1,PS6,image,12,13,NA,Sad,136836,0.407918969,NA,NA,NA
1,SAW7,sound,7,NA,1143.929487,Sad,NA,NA,2.954739229,57,0.182882799
1,LFO6,sound,0,NA,70.42388224,Angry,NA,NA,2.600634921,44,0.188721332
1,LC12,image,5,6,NA,Sad,16159,0.372362151,NA,NA,NA
1,LC6,image,7,8,NA,Sad,45120,0.297052305,NA,NA,NA
1,LFO1,sound,9,NA,1422.726196,Angry,NA,NA,0.853333333,15,1.179128806
1,LC8,image,10,11,NA,Angry,1,0,NA,NA,NA
1,LFO3,sound,2,NA,407.2930056,Sad,NA,NA,1.555736961,21,1.129746726
1,ROS2,sound,11,NA,1753.591109,Angry,NA,NA,1.201632653,14,1.496218711
1,LC9,image,6,7,NA,Angry,17526,0.600764578,NA,NA,NA
1,PS7,image,3,4,NA,Sad,119879,0.442688044,NA,NA,NA
1,SAW7,sound,12,NA,1881.766715,Sad,NA,NA,2.954739229,11,0.043292099
1,PS2,image,2,3,NA,Sad,61910,0.615054111,NA,NA,NA
1,PS14,image,0,1,NA,Sad,91745,0.434846586,NA,NA,NA
1,ROS6,sound,6,NA,983.576585,Sad,NA,NA,2.600634921,16,0.512383477
1,LFO1,sound,4,NA,732.588873,Angry,NA,NA,0.853333333,11,1.557074656
1,LC12,image,11,12,NA,Angry,33304,0.564827048,NA,NA,NA
1,ROS7,sound,1,NA,276.4261319,Sad,NA,NA,2.954739229,48,0.794639623
1,PS6,image,8,9,NA,Angry,100724,0.476996545,NA,NA,NA
1,ROS4,sound,5,NA,877.2273004,Sad,NA,NA,1.904036281,25,0.686835029
1,LC9,image,1,2,NA,Angry,60732,0.585819667,NA,NA,NA
1,LFO0,sound,3,NA,568.1439022,Sad,NA,NA,0.505034014,9,1.278265178
1,SAW6,sound,8,NA,1223.28646,Sad,NA,NA,2.600634921,28,0.177221393
1,LC3,image,0,1,NA,Angry,11250,0.643466667,NA,NA,NA
1,PS14,image,4,5,NA,Sad,86769,0.652306699,NA,NA,NA
1,PS3,image,5,6,NA,Sad,82080,0.583796296,NA,NA,NA
1,PS7,image,6,7,NA,Angry,46893,0.618279914,NA,NA,NA
1,LC0,image,3,4,NA,Angry,49077,0.246693971,NA,NA,NA
1,ROS4,sound,7,NA,1106.473331,Angry,NA,NA,1.904036281,19,0.981550967
1,LFO7,sound,0,NA,112.3722386,Angry,NA,NA,2.954739229,51,0.37227537
1,SAW3,sound,4,NA,613.796726,Angry,NA,NA,1.555736961,1,0.09860474
1,LFO8,sound,10,NA,1645.882188,Angry,NA,NA,3.303038549,43,1.225972972
1,ROS6,sound,9,NA,1459.203219,Angry,NA,NA,2.600634921,23,1.202179867
1,LC14,image,7,8,NA,Angry,27900,0.277562724,NA,NA,NA
1,LC2,image,10,11,NA,Angry,40996,0.497146063,NA,NA,NA
1,SAW2,sound,12,NA,1823.249275,Angry,NA,NA,1.201632653,32,0.239735533
1,LC0,image,12,13,NA,Angry,33075,0.435313681,NA,NA,NA
1,ROS7,sound,2,NA,359.5035808,Sad,NA,NA,2.954739229,50,0.955418334
1,PS5,image,1,2,NA,Sad,45652,0.671668273,NA,NA,NA
1,LC12,image,8,9,NA,Angry,34595,0.285445874,NA,NA,NA
1,PS6,image,2,3,NA,Sad,71877,0.552833312,NA,NA,NA
1,SAW0,sound,1,NA,253.7296111,Sad,NA,NA,0.505034014,2,0.004644425
1,LC7,image,11,12,NA,Angry,37948,0.39401286,NA,NA,NA
1,PS9,image,9,10,NA,Sad,94249,0.519475008,NA,NA,NA
1,LFO9,sound,11,NA,1707.994107,Angry,NA,NA,3.651337868,33,1.164250981
1,ROS1,sound,5,NA,774.1135221,Sad,NA,NA,0.853333333,13,1.013744747
1,LFO9,sound,6,NA,963.0842606,Angry,NA,NA,3.651337868,47,1.937271608
1,LFO2,sound,3,NA,551.4588593,Sad,NA,NA,1.201632653,19,0.868015963
1,SAW2,sound,8,NA,1289.363558,Sad,NA,NA,1.201632653,18,0.174262006
1,PS14,image,11,12,NA,Sad,64528,0.484719812,NA,NA,NA
1,SAW8,sound,5,NA,799.7626713,Sad,NA,NA,3.303038549,1,0.042501202
1,PS6,image,12,13,NA,Sad,136836,0.407918969,NA,NA,NA
1,LFO1,sound,9,NA,1422.726196,Angry,NA,NA,0.853333333,15,1.179128806
1,ROS5,sound,8,NA,1329.567065,Angry,NA,NA,2.252335601,23,1.264239381
1,LFO6,sound,7,NA,1102.001199,Angry,NA,NA,2.600634921,49,1.281447548
1,PS3,image,4,5,NA,Sad,59276,0.527785276,NA,NA,NA
1,LC7,image,1,2,NA,Angry,28829,0.367026258,NA,NA,NA
1,LFO0,sound,2,NA,388.9430616,Sad,NA,NA,0.505034014,6,0.991947368
1,LC4,image,6,7,NA,Sad,18190,0.47042331,NA,NA,NA
1,LC9,image,5,6,NA,Angry,19050,0.33007874,NA,NA,NA
1,PS1,image,3,4,NA,Sad,69148,0.540261468,NA,NA,NA
1,LC0,image,9,10,NA,Angry,55615,0.461674009,NA,NA,NA
1,LC0,image,10,11,NA,Angry,58729,0.536242742,NA,NA,NA
1,SAW3,sound,12,NA,1923.176265,Sad,NA,NA,1.555736961,1,0.003875181
1,ROS5,sound,10,NA,1610.879849,Angry,NA,NA,2.252335601,20,1.165382938
1,LC11,image,8,9,NA,Sad,22344,0.405433226,NA,NA,NA
1,SAW5,sound,3,NA,541.8549928,Angry,NA,NA,2.252335601,1,0.041153185
1,ROS8,sound,1,NA,238.9402872,Sad,NA,NA,3.303038549,56,0.836272934
1,PS0,image,2,3,NA,Sad,80726,0.541770929,NA,NA,NA
1,ROS3,sound,6,NA,1022.072996,Angry,NA,NA,1.555736961,13,0.585049101
1,LFO7,sound,4,NA,615.2813865,Angry,NA,NA,2.954739229,38,1.400701162
1,LFO2,sound,11,NA,1654.946965,Angry,NA,NA,1.201632653,13,2.713685694
1,SAW6,sound,0,NA,62.48410615,Sad,NA,NA,2.600634921,37,0.227065705
1,LC11,image,0,1,NA,Angry,34572,0.213641097,NA,NA,NA
1,PS11,image,7,8,NA,Sad,65148,0.497958495,NA,NA,NA
1,ROS9,sound,0,NA,129.375654,Angry,NA,NA,3.651337868,58,0.690023642
1,LC0,image,4,5,NA,Angry,59400,0.397794613,NA,NA,NA
1,SAW1,sound,10,NA,1562.194341,Sad,NA,NA,0.853333333,7,0.106393263
1,ROS2,sound,7,NA,1129.222493,Sad,NA,NA,1.201632653,12,1.014658586
1,PS2,image,12,13,NA,Angry,90785,0.423638266,NA,NA,NA
1,SAW4,sound,5,NA,840.8464277,Sad,NA,NA,1.904036281,25,0.210724089
1,SAW8,sound,4,NA,634.8436084,Sad,NA,NA,3.303038549,1,0.095638249
1,PS1,image,11,12,NA,Sad,123904,0.467119706,NA,NA,NA
1,LFO7,sound,9,NA,1357.116253,Angry,NA,NA,2.954739229,38,1.689370243
1,LC4,image,5,6,NA,Angry,46782,0.257086059,NA,NA,NA
1,LC14,image,8,9,NA,Angry,24003,0.527767362,NA,NA,NA
1,LC7,image,10,11,NA,Angry,32005,0.41049836,NA,NA,NA
1,ROS9,sound,12,NA,1927.723227,Sad,NA,NA,3.651337868,10,0.367753951
1,ROS2,sound,2,NA,373.5667861,Sad,NA,NA,1.201632653,19,0.98120292
1,PS7,image,1,2,NA,Sad,87750,0.552239316,NA,NA,NA
1,PS10,image,0,1,NA,Sad,51106,0.695632607,NA,NA,NA
1,LC5,image,2,3,NA,Angry,37168,0.313145717,NA,NA,NA
1,LC14,image,6,7,NA,Angry,34726,0.212693659,NA,NA,NA
1,PS0,image,3,4,NA,Angry,55370,0.404785985,NA,NA,NA
1,ROS1,sound,6,NA,989.952124,Angry,NA,NA,0.853333333,11,0.543748768
1,PS3,image,9,10,NA,Angry,106020,0.396302584,NA,NA,NA
1,LFO2,sound,11,NA,1654.946965,Angry,NA,NA,1.201632653,13,2.713685694
1,LFO3,sound,3,NA,557.4750932,Sad,NA,NA,1.555736961,26,2.603728066
1,PS10,image,7,8,NA,Sad,100016,0.396386578,NA,NA,NA
1,SAW0,sound,8,NA,1230.402932,Sad,NA,NA,0.505034014,1,0.093349759
1,LFO6,sound,1,NA,172.5274509,Sad,NA,NA,2.600634921,51,0.748561127
1,LC3,image,0,1,NA,Sad,11250,0.643466667,NA,NA,NA
1,ROS4,sound,0,NA,149.443129,Angry,NA,NA,1.904036281,29,0.635226787
1,LC10,image,2,3,NA,Sad,12614,0.514586967,NA,NA,NA
1,SAW8,sound,7,NA,1081.253168,Sad,NA,NA,3.303038549,1,0.024802773
1,PS14,image,10,11,NA,Angry,90258,0.320326176,NA,NA,NA
1,PS7,image,7,8,NA,Sad,116610,0.507100592,NA,NA,NA
1,LFO8,sound,8,NA,1301.699557,Angry,NA,NA,3.303038549,52,1.572321775
1,PS8,image,11,12,NA,Angry,85400,0.454531616,NA,NA,NA
1,SAW6,sound,6,NA,977.0720936,Sad,NA,NA,2.600634921,1,0.066228631
1,LC1,image,5,6,NA,Sad,60900,0.318423645,NA,NA,NA
1,PS11,image,3,4,NA,Sad,54016,0.657360782,NA,NA,NA
1,LC2,image,1,2,NA,Angry,37128,0.170572075,NA,NA,NA
1,SAW7,sound,9,NA,1370.837456,Sad,NA,NA,2.954739229,28,0.231992588
1,LC6,image,12,13,NA,Angry,43920,0.467600182,NA,NA,NA
1,ROS7,sound,10,NA,1504.246543,Sad,NA,NA,2.954739229,21,1.1984441
1,PS14,image,6,7,NA,Sad,120960,0.306241733,NA,NA,NA
1,ROS4,sound,2,NA,331.7518682,Sad,NA,NA,1.904036281,34,0.957703194
1,SAW1,sound,1,NA,152.543411,Sad,NA,NA,0.853333333,23,0.377619349
1,LFO7,sound,4,NA,615.2813865,Angry,NA,NA,2.954739229,38,1.400701162
1,PS2,image,9,10,NA,Angry,84500,0.484497041,NA,NA,NA
1,LC0,image,8,9,NA,Angry,64075,0.315005853,NA,NA,NA
1,ROS6,sound,5,NA,791.9892892,Sad,NA,NA,2.600634921,63,1.010016415
1,LFO8,sound,11,NA,1722.699299,Angry,NA,NA,3.303038549,54,1.301302395
1,LFO0,sound,12,NA,1890.003629,Angry,NA,NA,0.505034014,6,2.430596315
1,LC10,image,4,5,NA,Angry,37587,0.356000745,NA,NA,NA
1,LFO8,sound,3,NA,458.7371131,Sad,NA,NA,3.303038549,54,1.47615678
1,SAW8,sound,4,NA,634.8436084,Sad,NA,NA,3.303038549,1,0.095638249
1,SAW1,sound,10,NA,1562.194341,Sad,NA,NA,0.853333333,7,0.106393263
1,PS12,image,4,5,NA,Sad,58995,0.529231291,NA,NA,NA
1,PS8,image,12,13,NA,Sad,92829,0.569003221,NA,NA,NA
1,LC12,image,10,11,NA,Sad,29160,0.62973251,NA,NA,NA
1,SAW5,sound,6,NA,1038.012027,Sad,NA,NA,2.252335601,38,0.101634838
1,PS14,image,9,10,NA,Angry,94783,0.254085648,NA,NA,NA
1,LFO6,sound,0,NA,70.42388224,Sad,NA,NA,2.600634921,44,0.188721332
1,ROS0,sound,8,NA,1259.904436,Angry,NA,NA,0.505034014,6,1.699636433
1,LC14,image,1,2,NA,Angry,51520,0.407045807,NA,NA,NA
1,LFO6,sound,5,NA,836.2776362,Angry,NA,NA,2.600634921,27,0.922427576
1,LC1,image,3,4,NA,Angry,48675,0.296784797,NA,NA,NA
1,LC1,image,5,6,NA,Angry,60900,0.318423645,NA,NA,NA
1,ROS9,sound,11,NA,1671.507199,Angry,NA,NA,3.651337868,38,1.824507365
1,LC7,image,6,7,NA,Sad,33558,0.293581262,NA,NA,NA
1,SAW9,sound,2,NA,316.9098014,Sad,NA,NA,3.651337868,44,0.461276994
1,PS0,image,11,12,NA,Angry,100812,0.425435464,NA,NA,NA
1,ROS5,sound,7,NA,1140.965174,Angry,NA,NA,2.252335601,6,0.61796381
1,SAW0,sound,12,NA,1866.327705,Sad,NA,NA,0.505034014,10,0.126907656
1,LFO0,sound,9,NA,1415.758777,Angry,NA,NA,0.505034014,8,1.239129558
1,LC6,image,2,3,NA,Angry,82240,0.120950875,NA,NA,NA
1,PS6,image,8,9,NA,Sad,100724,0.476996545,NA,NA,NA
1,ROS1,sound,3,NA,514.8681152,Angry,NA,NA,0.853333333,13,0.948517699
1,LC13,image,0,1,NA,Sad,15372,0.628480354,NA,NA,NA
1,PS12,image,7,8,NA,Angry,103024,0.444537195,NA,NA,NA
1,LFO6,sound,1,NA,172.5274509,Sad,NA,NA,2.600634921,51,0.748561127
1,PS1,image,0,1,NA,Sad,57043,0.633679856,NA,NA,NA
1,PS7,image,10,11,NA,Sad,101565,0.488051986,NA,NA,NA
1,ROS6,sound,0,NA,111.3400013,Angry,NA,NA,2.600634921,36,0.591658836
1,PS7,image,6,7,NA,Sad,46893,0.618279914,NA,NA,NA
1,SAW8,sound,5,NA,799.7626713,Sad,NA,NA,3.303038549,1,0.042501202
1,ROS0,sound,3,NA,550.8950539,Sad,NA,NA,0.505034014,9,1.214100221
1,PS5,image,12,13,NA,Sad,133500,0.328269663,NA,NA,NA
1,LFO8,sound,7,NA,1088.294968,Angry,NA,NA,3.303038549,50,1.441184589
1,LFO2,sound,10,NA,1634.346378,Angry,NA,NA,1.201632653,19,1.449793909
1,SAW2,sound,4,NA,640.5556217,Sad,NA,NA,1.201632653,1,0.043416372
1,ROS2,sound,8,NA,1208.035034,Sad,NA,NA,1.201632653,16,1.900370632
1,PS2,image,4,5,NA,Sad,65618,0.493187845,NA,NA,NA
1,SAW7,sound,6,NA,935.2816201,Sad,NA,NA,2.954739229,36,0.216180236
1,LC8,image,9,10,NA,Angry,46665,0.40645023,NA,NA,NA
1,ROS4,sound,9,NA,1431.771451,Sad,NA,NA,1.904036281,21,1.82212533
1,LC7,image,5,6,NA,Angry,17871,0.384477645,NA,NA,NA
1,PS0,image,3,4,NA,Sad,55370,0.404785985,NA,NA,NA
1,LC11,image,7,8,NA,Angry,49082,0.294833136,NA,NA,NA
1,LFO3,sound,2,NA,407.2930056,Angry,NA,NA,1.555736961,21,1.129746726
1,SAW9,sound,12,NA,1831.999819,Sad,NA,NA,3.651337868,78,0.196259398
1,LC5,image,2,3,NA,Angry,37168,0.313145717,NA,NA,NA
1,PS11,image,1,2,NA,Sad,61500,0.55596748,NA,NA,NA
1,LC11,image,11,12,NA,Angry,40145,0.558226429,NA,NA,NA
1,LFO5,sound,11,NA,1668.187849,Angry,NA,NA,2.252335601,35,1.983822276
1,LC1,image,8,9,NA,Sad,87246,0.208410701,NA,NA,NA
1,LFO6,sound,1,NA,172.5274509,Sad,NA,NA,2.600634921,51,0.748561127
1,LFO2,sound,8,NA,1334.729368,Angry,NA,NA,1.201632653,10,1.404136509
1,PS11,image,3,4,NA,Sad,54016,0.657360782,NA,NA,NA
1,LC12,image,10,11,NA,Angry,29160,0.62973251,NA,NA,NA
1,PS14,image,9,10,NA,Angry,94783,0.254085648,NA,NA,NA
1,LFO8,sound,7,NA,1088.294968,Angry,NA,NA,3.303038549,50,1.441184589
1,LFO2,sound,10,NA,1634.346378,Angry,NA,NA,1.201632653,19,1.449793909
1,LC13,image,1,2,NA,Sad,18980,0.582929399,NA,NA,NA
1,PS5,image,4,5,NA,Angry,82360,0.487068966,NA,NA,NA
1,PS10,image,5,6,NA,Sad,86674,0.394697372,NA,NA,NA
1,LC8,image,6,7,NA,Angry,34680,0.279757785,NA,NA,NA
1,SAW3,sound,9,NA,1465.148858,Angry,NA,NA,1.555736961,24,0.160094467
1,ROS7,sound,2,NA,359.5035808,Sad,NA,NA,2.954739229,50,0.955418334
1,SAW9,sound,12,NA,1831.999819,Sad,NA,NA,3.651337868,78,0.196259398
1,LC4,image,2,3,NA,Sad,62486,0.564238389,NA,NA,NA
1,SAW1,sound,0,NA,118.8400502,Sad,NA,NA,0.853333333,20,0.35673894
1,SAW3,sound,3,NA,451.6006389,Sad,NA,NA,1.555736961,36,0.07171572
1,ROS6,sound,6,NA,983.576585,Sad,NA,NA,2.600634921,16,0.512383477
1,PS14,image,8,9,NA,Angry,123903,0.309597023,NA,NA,NA
1,LC11,image,11,12,NA,Angry,40145,0.558226429,NA,NA,NA
1,PS13,image,12,13,NA,Angry,145728,0.318051438,NA,NA,NA
1,LFO0,sound,11,NA,1776.072458,Angry,NA,NA,0.505034014,7,1.232334542
1,ROS4,sound,5,NA,877.2273004,Sad,NA,NA,1.904036281,25,0.686835029
1,LC13,image,0,1,NA,Sad,15372,0.628480354,NA,NA,NA
1,PS14,image,7,8,NA,Sad,103820,0.446965903,NA,NA,NA
1,ROS0,sound,4,NA,683.3736973,Angry,NA,NA,0.505034014,5,0.509602952
1,LFO7,sound,1,NA,170.8976294,Angry,NA,NA,2.954739229,37,0.615580589
1,SAW6,sound,10,NA,1634.709896,Angry,NA,NA,3.604897959,57,0.202051819
1,PS8,image,5,6,NA,Angry,114144,0.476941407,NA,NA,NA
1,LC0,image,0,1,NA,INAUDIBLE,70782,0.101409963,NA,NA,NA
1,PS14,image,4,5,NA,Angry,86769,0.652306699,NA,NA,NA
1,PS11,image,3,4,NA,INAUDIBLE,54016,0.657360782,NA,NA,NA
1,SAW1,sound,5,NA,821.6047912,Sad,NA,NA,0.853333333,1,0.03719354
1,PS11,image,10,11,NA,INAUDIBLE,88536,0.303797325,NA,NA,NA
1,ROS6,sound,8,NA,1286.076681,Angry,NA,NA,2.600634921,20,1.444351087
1,LFO0,sound,7,NA,1151.60593,Angry,NA,NA,0.505034014,6,2.921609959
1,LC3,image,1,2,NA,Angry,23712,0.668058367,NA,NA,NA
1,SAW5,sound,9,NA,1494.043809,Sad,NA,NA,2.252335601,9,0.221899268
1,LC11,image,7,8,NA,INAUDIBLE,49082,0.294833136,NA,NA,NA
1,LC14,image,8,9,NA,Angry,24003,0.527767362,NA,NA,NA
1,ROS7,sound,12,NA,1804.887338,Angry,NA,NA,2.954739229,24,1.223563385
1,LC8,image,12,13,NA,Angry,46698,0.331984239,NA,NA,NA
1,SAW2,sound,0,NA,71.07104929,Angry,NA,NA,1.201632653,7,0.109688726
1,PS4,image,2,3,NA,Sad,46782,0.674981831,NA,NA,NA
1,PS10,image,6,7,NA,Angry,68926,0.500232133,NA,NA,NA
1,LC10,image,11,12,NA,Angry,45202,0.381531791,NA,NA,NA
1,PS2,image,9,10,NA,Angry,84500,0.484497041,NA,NA,NA
1,LFO9,sound,2,NA,448.8543309,Sad,NA,NA,3.651337868,46,0.87052595
1,LFO8,sound,6,NA,1003.971397,Angry,NA,NA,3.303038549,46,2.001451349
1,ROS7,sound,11,NA,1789.246517,Angry,NA,NA,2.954739229,23,1.342103933
1,LFO1,sound,3,NA,460.078566,Angry,NA,NA,0.853333333,15,0.971837113
1,ROS0,sound,4,NA,683.3736973,Angry,NA,NA,0.505034014,5,0.509602952
1,LFO6,sound,1,NA,172.5274509,Sad,NA,NA,2.600634921,51,0.748561127
1,LFO7,sound,8,NA,1282.912092,Angry,NA,NA,2.954739229,44,1.853494337
1,PS5,image,0,1,NA,Sad,41006,0.733697508,NA,NA,NA
1,ROS4,sound,0,NA,149.443129,Angry,NA,NA,1.904036281,29,0.635226787
1,SAW8,sound,7,NA,1081.253168,Sad,NA,NA,3.303038549,1,0.024802773
1,LC13,image,10,11,NA,Angry,33969,0.454502635,NA,NA,NA
1,LFO0,sound,5,NA,756.7089867,Angry,NA,NA,0.505034014,9,1.344617169
1,LC9,image,7,8,NA,Angry,50176,0.464106346,NA,NA,NA
1,LFO2,sound,10,NA,1634.346378,Angry,NA,NA,1.201632653,19,1.449793909
1,LFO3,sound,12,NA,1912.278651,Angry,NA,NA,1.555736961,26,1.316893095
1,PS12,image,5,6,NA,Sad,78771,0.511508042,NA,NA,NA
1,PS3,image,4,5,NA,Angry,59276,0.527785276,NA,NA,NA
1,SAW2,sound,2,NA,406.3159893,Sad,NA,NA,1.201632653,1,0.011995615
1,ROS3,sound,9,NA,1373.679222,Angry,NA,NA,1.555736961,7,1.332618351
1,LC6,image,6,7,NA,Angry,35979,0.238027738,NA,NA,NA
1,PS1,image,9,10,NA,Sad,100868,0.370573423,NA,NA,NA
1,PS3,image,1,2,NA,Sad,50635,0.680576676,NA,NA,NA
1,LC14,image,3,4,NA,Angry,7800,0.511538462,NA,NA,NA
1,LC12,image,2,3,NA,Angry,6678,0.418538485,NA,NA,NA
1,ROS8,sound,1,NA,238.9402872,Angry,NA,NA,3.303038549,56,0.836272934
1,SAW3,sound,3,NA,451.6006389,Sad,NA,NA,1.555736961,36,0.07171572
1,LC10,image,11,12,NA,Angry,45202,0.381531791,NA,NA,NA
1,PS12,image,12,13,NA,Sad,81508,0.430546695,NA,NA,NA
1,PS6,image,8,9,NA,Angry,100724,0.476996545,NA,NA,NA
1,SAW8,sound,11,NA,1778.952887,Sad,NA,NA,3.303038549,68,0.221344064
1,LFO0,sound,6,NA,976.8508739,Angry,NA,NA,0.505034014,7,1.228154057
1,ROS7,sound,4,NA,739.9000016,Sad,NA,NA,2.954739229,45,0.855526367
1,SAW1,sound,10,NA,1562.194341,Angry,NA,NA,0.853333333,7,0.106393263
